Awardee,Year,Deaths,Population,Crude Rate,Age-Adjusted Rate,Indicator Number,Indicator Name,Category,Program
Alabama,2013,598,4833722,12.3714,12.7176,1,All Drug Overdose Deaths,Mortality,None
Alabama,2014,723,4849377,14.9091,15.1532,1,All Drug Overdose Deaths,Mortality,None
Alabama,2015,736,4858979,15.1472,15.6639,1,All Drug Overdose Deaths,Mortality,None
Alabama,2016,756,4863300,15.545,16.2075,1,All Drug Overdose Deaths,Mortality,None
Alaska,2013,105,735132,14.2831,14.3519,1,All Drug Overdose Deaths,Mortality,DDPI
Alaska,2014,124,736732,16.8311,16.7585,1,All Drug Overdose Deaths,Mortality,DDPI
Alaska,2015,122,738432,16.5215,15.9606,1,All Drug Overdose Deaths,Mortality,DDPI
Alaska,2016,128,741894,17.2531,16.8331,1,All Drug Overdose Deaths,Mortality,DDPI
Arizona,2013,1222,6626624,18.4408,18.7376,1,All Drug Overdose Deaths,Mortality,DDPI
Arizona,2014,1211,6731484,17.9901,18.1685,1,All Drug Overdose Deaths,Mortality,DDPI
Arizona,2015,1274,6828065,18.6583,19.0161,1,All Drug Overdose Deaths,Mortality,DDPI
Arizona,2016,1382,6931071,19.9392,20.2697,1,All Drug Overdose Deaths,Mortality,DDPI
Arkansas,2013,319,2959373,10.7793,11.0713,1,All Drug Overdose Deaths,Mortality,DDPI
Arkansas,2014,356,2966369,12.0012,12.55,1,All Drug Overdose Deaths,Mortality,DDPI
Arkansas,2015,392,2978204,13.1623,13.8454,1,All Drug Overdose Deaths,Mortality,DDPI
Arkansas,2016,401,2988248,13.4192,13.9917,1,All Drug Overdose Deaths,Mortality,DDPI
California,2013,4452,38332521,11.6142,11.1379,1,All Drug Overdose Deaths,Mortality,DDPI
California,2014,4521,38802500,11.6513,11.102,1,All Drug Overdose Deaths,Mortality,DDPI
California,2015,4659,39144818,11.902,11.3219,1,All Drug Overdose Deaths,Mortality,DDPI
California,2016,4654,39250017,11.8573,11.2218,1,All Drug Overdose Deaths,Mortality,DDPI
Colorado,2013,846,5268367,16.0581,15.5429,1,All Drug Overdose Deaths,Mortality,PfS
Colorado,2014,899,5355866,16.7853,16.2953,1,All Drug Overdose Deaths,Mortality,PfS
Colorado,2015,869,5456574,15.9257,15.368,1,All Drug Overdose Deaths,Mortality,PfS
Colorado,2016,942,5540545,17.0019,16.5808,1,All Drug Overdose Deaths,Mortality,PfS
Connecticut,2013,582,3596080,16.1843,15.9945,1,All Drug Overdose Deaths,Mortality,PfS
Connecticut,2014,623,3596677,17.3215,17.641,1,All Drug Overdose Deaths,Mortality,PfS
Connecticut,2015,800,3590886,22.2786,22.0656,1,All Drug Overdose Deaths,Mortality,PfS
Connecticut,2016,971,3576452,27.1498,27.3914,1,All Drug Overdose Deaths,Mortality,PfS
Delaware,2013,166,925749,17.9314,18.7293,1,All Drug Overdose Deaths,Mortality,PfS
Delaware,2014,189,935614,20.2006,20.9428,1,All Drug Overdose Deaths,Mortality,PfS
Delaware,2015,198,945934,20.9317,21.9747,1,All Drug Overdose Deaths,Mortality,PfS
Delaware,2016,282,952065,29.6198,30.7819,1,All Drug Overdose Deaths,Mortality,PfS
District of Columbia,2013,102,646449,15.7785,14.9563,1,All Drug Overdose Deaths,Mortality,PfS
District of Columbia,2014,96,658893,14.5699,14.2281,1,All Drug Overdose Deaths,Mortality,PfS
District of Columbia,2015,125,672228,18.5949,18.5511,1,All Drug Overdose Deaths,Mortality,PfS
District of Columbia,2016,269,681170,39.4909,38.8,1,All Drug Overdose Deaths,Mortality,PfS
Florida,2013,2474,19552860,12.6529,12.5629,1,All Drug Overdose Deaths,Mortality,PfS
Florida,2014,2634,19893297,13.2406,13.1958,1,All Drug Overdose Deaths,Mortality,PfS
Florida,2015,3228,20271272,15.924,16.2362,1,All Drug Overdose Deaths,Mortality,PfS
Florida,2016,4728,20612439,22.9376,23.7451,1,All Drug Overdose Deaths,Mortality,PfS
Georgia,2013,1098,9992167,10.9886,10.8204,1,All Drug Overdose Deaths,Mortality,PfS
Georgia,2014,1206,10097343,11.9437,11.8978,1,All Drug Overdose Deaths,Mortality,PfS
Georgia,2015,1302,10214860,12.7461,12.6797,1,All Drug Overdose Deaths,Mortality,PfS
Georgia,2016,1394,10310371,13.5204,13.3349,1,All Drug Overdose Deaths,Mortality,PfS
Hawaii,2013,158,1404054,11.2531,11.0087,1,All Drug Overdose Deaths,Mortality,PfS
Hawaii,2014,157,1419561,11.0598,10.8528,1,All Drug Overdose Deaths,Mortality,PfS
Hawaii,2015,169,1431603,11.8049,11.3281,1,All Drug Overdose Deaths,Mortality,PfS
Hawaii,2016,191,1428557,13.3701,12.7513,1,All Drug Overdose Deaths,Mortality,PfS
Idaho,2013,207,1612136,12.8401,13.3532,1,All Drug Overdose Deaths,Mortality,PfS
Idaho,2014,212,1634464,12.9706,13.7097,1,All Drug Overdose Deaths,Mortality,PfS
Idaho,2015,218,1654930,13.1728,14.1941,1,All Drug Overdose Deaths,Mortality,PfS
Idaho,2016,243,1683140,14.4373,15.2208,1,All Drug Overdose Deaths,Mortality,PfS
Illinois,2013,1579,12882135,12.2573,12.104,1,All Drug Overdose Deaths,Mortality,PfS
Illinois,2014,1705,12880580,13.237,13.13,1,All Drug Overdose Deaths,Mortality,PfS
Illinois,2015,1835,12859995,14.2691,14.0925,1,All Drug Overdose Deaths,Mortality,PfS
Illinois,2016,2411,12801539,18.8337,18.8737,1,All Drug Overdose Deaths,Mortality,PfS
Indiana,2013,1064,6570902,16.1926,16.5961,1,All Drug Overdose Deaths,Mortality,PfS
Indiana,2014,1172,6596855,17.766,18.1805,1,All Drug Overdose Deaths,Mortality,PfS
Indiana,2015,1245,6619680,18.8076,19.4945,1,All Drug Overdose Deaths,Mortality,PfS
Indiana,2016,1526,6633053,23.006,23.9642,1,All Drug Overdose Deaths,Mortality,PfS
Iowa,2013,275,3090416,8.8985,9.2929,1,All Drug Overdose Deaths,Mortality,PfS
Iowa,2014,264,3107126,8.4966,8.7958,1,All Drug Overdose Deaths,Mortality,PfS
Iowa,2015,309,3123899,9.8915,10.2763,1,All Drug Overdose Deaths,Mortality,PfS
Iowa,2016,314,3134693,10.0169,10.6239,1,All Drug Overdose Deaths,Mortality,PfS
Kansas,2013,331,2893957,11.4376,11.9586,1,All Drug Overdose Deaths,Mortality,PfS
Kansas,2014,332,2904021,11.4324,11.733,1,All Drug Overdose Deaths,Mortality,PfS
Kansas,2015,329,2911641,11.2995,11.8357,1,All Drug Overdose Deaths,Mortality,PfS
Kansas,2016,313,2907289,10.766,11.089,1,All Drug Overdose Deaths,Mortality,PfS
Kentucky,2013,1019,4395295,23.1839,23.6849,1,All Drug Overdose Deaths,Mortality,PfS
Kentucky,2014,1077,4413457,24.4026,24.7459,1,All Drug Overdose Deaths,Mortality,PfS
Kentucky,2015,1273,4425092,28.7678,29.9067,1,All Drug Overdose Deaths,Mortality,PfS
Kentucky,2016,1419,4436974,31.9813,33.5499,1,All Drug Overdose Deaths,Mortality,PfS
Louisiana,2013,809,4625470,17.4901,17.7718,1,All Drug Overdose Deaths,Mortality,PfS
Louisiana,2014,777,4649676,16.7108,16.8583,1,All Drug Overdose Deaths,Mortality,PfS
Louisiana,2015,861,4670724,18.434,19.0385,1,All Drug Overdose Deaths,Mortality,PfS
Louisiana,2016,996,4681666,21.2745,21.8107,1,All Drug Overdose Deaths,Mortality,PfS
Maine,2013,174,1328302,13.0994,13.2438,1,All Drug Overdose Deaths,Mortality,PfS
Maine,2014,216,1330089,16.2395,16.8385,1,All Drug Overdose Deaths,Mortality,PfS
Maine,2015,269,1329328,20.2358,21.1572,1,All Drug Overdose Deaths,Mortality,PfS
Maine,2016,353,1331479,26.5119,28.7144,1,All Drug Overdose Deaths,Mortality,PfS
Maryland,2013,892,5928814,15.0452,14.5914,1,All Drug Overdose Deaths,Mortality,PfS
Maryland,2014,1070,5976407,17.9037,17.3942,1,All Drug Overdose Deaths,Mortality,PfS
Maryland,2015,1285,6006401,21.3938,20.8723,1,All Drug Overdose Deaths,Mortality,PfS
Maryland,2016,2044,6016447,33.9735,33.2231,1,All Drug Overdose Deaths,Mortality,PfS
Massachusetts,2013,1081,6692824,16.1516,15.9971,1,All Drug Overdose Deaths,Mortality,PfS
Massachusetts,2014,1289,6745408,19.1093,19.0436,1,All Drug Overdose Deaths,Mortality,PfS
Massachusetts,2015,1724,6794422,25.3738,25.6654,1,All Drug Overdose Deaths,Mortality,PfS
Massachusetts,2016,2227,6811779,32.6934,32.9897,1,All Drug Overdose Deaths,Mortality,PfS
Michigan,2013,1553,9895622,15.6938,15.8693,1,All Drug Overdose Deaths,Mortality,PfS
Michigan,2014,1762,9909877,17.7802,18.0371,1,All Drug Overdose Deaths,Mortality,PfS
Michigan,2015,1980,9922576,19.9545,20.3541,1,All Drug Overdose Deaths,Mortality,PfS
Michigan,2016,2347,9928300,23.6395,24.3772,1,All Drug Overdose Deaths,Mortality,PfS
Minnesota,2013,523,5420380,9.6488,9.6018,1,All Drug Overdose Deaths,Mortality,PfS
Minnesota,2014,517,5457173,9.4738,9.598,1,All Drug Overdose Deaths,Mortality,PfS
Minnesota,2015,581,5489594,10.5837,10.647,1,All Drug Overdose Deaths,Mortality,PfS
Minnesota,2016,672,5519952,12.174,12.4677,1,All Drug Overdose Deaths,Mortality,PfS
Mississippi,2013,316,2991207,10.5643,10.8336,1,All Drug Overdose Deaths,Mortality,PfS
Mississippi,2014,336,2994079,11.2221,11.6481,1,All Drug Overdose Deaths,Mortality,PfS
Mississippi,2015,351,2992333,11.73,12.3448,1,All Drug Overdose Deaths,Mortality,PfS
Mississippi,2016,352,2988726,11.7776,12.1325,1,All Drug Overdose Deaths,Mortality,PfS
Missouri,2013,1025,6044171,16.9585,17.4929,1,All Drug Overdose Deaths,Mortality,PfS
Missouri,2014,1067,6063589,17.5968,18.2146,1,All Drug Overdose Deaths,Mortality,PfS
Missouri,2015,1066,6083672,17.5223,17.8941,1,All Drug Overdose Deaths,Mortality,PfS
Missouri,2016,1371,6093000,22.5012,23.6436,1,All Drug Overdose Deaths,Mortality,PfS
Montana,2013,137,1015165,13.4953,14.4557,1,All Drug Overdose Deaths,Mortality,PfS
Montana,2014,125,1023579,12.2121,12.3826,1,All Drug Overdose Deaths,Mortality,PfS
Montana,2015,138,1032949,13.3598,13.8332,1,All Drug Overdose Deaths,Mortality,PfS
Montana,2016,119,1042520,11.4146,11.6662,1,All Drug Overdose Deaths,Mortality,PfS
Nebraska,2013,117,1868516,6.2617,6.471,1,All Drug Overdose Deaths,Mortality,PfS
Nebraska,2014,125,1881503,6.6436,7.1853,1,All Drug Overdose Deaths,Mortality,PfS
Nebraska,2015,126,1896190,6.6449,6.9455,1,All Drug Overdose Deaths,Mortality,PfS
Nebraska,2016,120,1907116,6.2922,6.4436,1,All Drug Overdose Deaths,Mortality,PfS
Nevada,2013,614,2790136,22.0061,21.1188,1,All Drug Overdose Deaths,Mortality,PfS
Nevada,2014,545,2839099,19.1962,18.4096,1,All Drug Overdose Deaths,Mortality,PfS
Nevada,2015,619,2890845,21.4124,20.3662,1,All Drug Overdose Deaths,Mortality,PfS
Nevada,2016,665,2940058,22.6186,21.6704,1,All Drug Overdose Deaths,Mortality,PfS
New Hampshire,2013,203,1323459,15.3386,15.0864,1,All Drug Overdose Deaths,Mortality,PfS
New Hampshire,2014,334,1326813,25.1731,26.2125,1,All Drug Overdose Deaths,Mortality,PfS
New Hampshire,2015,422,1330608,31.7148,34.3196,1,All Drug Overdose Deaths,Mortality,PfS
New Hampshire,2016,481,1334795,36.0355,38.9902,1,All Drug Overdose Deaths,Mortality,PfS
New Jersey,2013,1294,8899339,14.5404,14.4943,1,All Drug Overdose Deaths,Mortality,PfS
New Jersey,2014,1253,8938175,14.0185,14.0172,1,All Drug Overdose Deaths,Mortality,PfS
New Jersey,2015,1454,8958013,16.2313,16.3351,1,All Drug Overdose Deaths,Mortality,PfS
New Jersey,2016,2056,8944469,22.9863,23.2077,1,All Drug Overdose Deaths,Mortality,PfS
New Mexico,2013,458,2085287,21.9634,22.6256,1,All Drug Overdose Deaths,Mortality,PfS
New Mexico,2014,547,2085572,26.2278,27.2892,1,All Drug Overdose Deaths,Mortality,PfS
New Mexico,2015,501,2085109,24.0275,25.3107,1,All Drug Overdose Deaths,Mortality,PfS
New Mexico,2016,500,2081015,24.0267,25.1877,1,All Drug Overdose Deaths,Mortality,PfS
New York,2013,2309,19651127,11.75,11.3102,1,All Drug Overdose Deaths,Mortality,PfS
New York,2014,2300,19746227,11.6478,11.3047,1,All Drug Overdose Deaths,Mortality,PfS
New York,2015,2754,19795791,13.912,13.5823,1,All Drug Overdose Deaths,Mortality,PfS
New York,2016,3638,19745289,18.4246,18.0425,1,All Drug Overdose Deaths,Mortality,PfS
North Carolina,2013,1259,9848060,12.7842,12.8868,1,All Drug Overdose Deaths,Mortality,PfS
North Carolina,2014,1358,9943964,13.6565,13.8046,1,All Drug Overdose Deaths,Mortality,PfS
North Carolina,2015,1567,10042802,15.6032,15.7928,1,All Drug Overdose Deaths,Mortality,PfS
North Carolina,2016,1956,10146788,19.277,19.6947,1,All Drug Overdose Deaths,Mortality,PfS
North Dakota,2013,20,723393,2.7647,2.8154,1,All Drug Overdose Deaths,Mortality,PfS
North Dakota,2014,43,739482,5.8149,6.2628,1,All Drug Overdose Deaths,Mortality,PfS
North Dakota,2015,61,756927,8.0589,8.5971,1,All Drug Overdose Deaths,Mortality,PfS
North Dakota,2016,77,757952,10.159,10.6102,1,All Drug Overdose Deaths,Mortality,PfS
Ohio,2013,2347,11570808,20.2838,20.7926,1,All Drug Overdose Deaths,Mortality,PfS
Ohio,2014,2744,11594163,23.6671,24.6364,1,All Drug Overdose Deaths,Mortality,PfS
Ohio,2015,3310,11613423,28.5015,29.9118,1,All Drug Overdose Deaths,Mortality,PfS
Ohio,2016,4329,11614373,37.2728,39.1225,1,All Drug Overdose Deaths,Mortality,PfS
Oklahoma,2013,790,3850568,20.5165,20.6365,1,All Drug Overdose Deaths,Mortality,PfS
Oklahoma,2014,777,3878051,20.0358,20.3466,1,All Drug Overdose Deaths,Mortality,PfS
Oklahoma,2015,725,3911338,18.5359,19.0047,1,All Drug Overdose Deaths,Mortality,PfS
Oklahoma,2016,813,3923561,20.721,21.5304,1,All Drug Overdose Deaths,Mortality,PfS
Oregon,2013,455,3930065,11.5774,11.3211,1,All Drug Overdose Deaths,Mortality,PfS
Oregon,2014,522,3970239,13.1478,12.8483,1,All Drug Overdose Deaths,Mortality,PfS
Oregon,2015,505,4028977,12.5342,12.0475,1,All Drug Overdose Deaths,Mortality,PfS
Oregon,2016,506,4093465,12.3612,11.9386,1,All Drug Overdose Deaths,Mortality,PfS
Pennsylvania,2013,2426,12773801,18.992,19.3932,1,All Drug Overdose Deaths,Mortality,PfS
Pennsylvania,2014,2732,12787209,21.3651,21.9021,1,All Drug Overdose Deaths,Mortality,PfS
Pennsylvania,2015,3264,12802503,25.495,26.3273,1,All Drug Overdose Deaths,Mortality,PfS
Pennsylvania,2016,4627,12784227,36.193,37.8509,1,All Drug Overdose Deaths,Mortality,PfS
Rhode Island,2013,241,1051511,22.9194,22.3749,1,All Drug Overdose Deaths,Mortality,PfS
Rhode Island,2014,247,1055173,23.4085,23.3501,1,All Drug Overdose Deaths,Mortality,PfS
Rhode Island,2015,310,1056298,29.3478,28.1842,1,All Drug Overdose Deaths,Mortality,PfS
Rhode Island,2016,326,1056426,30.8588,30.8268,1,All Drug Overdose Deaths,Mortality,PfS
South Carolina,2013,620,4774839,12.9847,12.9686,1,All Drug Overdose Deaths,Mortality,PfS
South Carolina,2014,701,4832482,14.506,14.4358,1,All Drug Overdose Deaths,Mortality,PfS
South Carolina,2015,761,4896146,15.5428,15.6549,1,All Drug Overdose Deaths,Mortality,PfS
South Carolina,2016,879,4961119,17.7178,18.0931,1,All Drug Overdose Deaths,Mortality,PfS
South Dakota,2013,55,844877,6.5098,6.9467,1,All Drug Overdose Deaths,Mortality,PfS
South Dakota,2014,63,853175,7.3842,7.7952,1,All Drug Overdose Deaths,Mortality,PfS
South Dakota,2015,65,858469,7.5716,8.3571,1,All Drug Overdose Deaths,Mortality,PfS
South Dakota,2016,69,865454,7.9727,8.4197,1,All Drug Overdose Deaths,Mortality,PfS
Tennessee,2013,1187,6495978,18.2728,18.1013,1,All Drug Overdose Deaths,Mortality,PfS
Tennessee,2014,1269,6549352,19.376,19.5143,1,All Drug Overdose Deaths,Mortality,PfS
Tennessee,2015,1457,6600299,22.0748,22.1571,1,All Drug Overdose Deaths,Mortality,PfS
Tennessee,2016,1630,6651194,24.5069,24.5334,1,All Drug Overdose Deaths,Mortality,PfS
Texas,2013,2446,26448193,9.2483,9.2641,1,All Drug Overdose Deaths,Mortality,PfS
Texas,2014,2601,26956958,9.6487,9.6831,1,All Drug Overdose Deaths,Mortality,PfS
Texas,2015,2588,27469114,9.4215,9.4013,1,All Drug Overdose Deaths,Mortality,PfS
Texas,2016,2831,27862596,10.1606,10.131,1,All Drug Overdose Deaths,Mortality,PfS
Utah,2013,594,2900872,20.4766,22.064,1,All Drug Overdose Deaths,Mortality,PfS
